wavelength,V450_power,B500_power,G550_power,Y570_power,O600_power,R650_power
492,5.01E-02,1.00E+00,4.21E-02,1.54E-02,4.00E-03,5.00E-03
494,3.87E-02,9.95E-01,4.61E-02,1.54E-02,4.37E-03,5.42E-03
496,2.64E-02,9.62E-01,5.17E-02,1.54E-02,4.37E-03,5.42E-03
498,1.82E-02,9.17E-01,6.27E-02,1.54E-02,5.09E-03,5.00E-03
500,1.47E-02,8.72E-01,7.56E-02,1.64E-02,6.18E-03,4.59E-03
502,1.37E-02,8.30E-01,9.25E-02,1.78E-02,7.64E-03,4.59E-03
504,1.27E-02,7.66E-01,1.10E-01,1.99E-02,9.82E-03,5.00E-03
506,1.13E-02,7.04E-01,1.31E-01,2.29E-02,1.24E-02,5.84E-03
508,9.94E-03,6.40E-01,1.51E-01,2.60E-02,1.38E-02,6.67E-03
510,8.57E-03,5.92E-01,1.82E-01,3.08E-02,1.60E-02,7.51E-03
512,7.89E-03,5.36E-01,2.16E-01,3.66E-02,1.75E-02,7.51E-03
514,7.54E-03,4.72E-01,2.56E-01,4.42E-02,1.82E-02,7.51E-03
516,7.20E-03,4.03E-01,3.11E-01,5.62E-02,1.67E-02,7.09E-03
518,7.20E-03,3.52E-01,3.62E-01,6.85E-02,1.38E-02,6.67E-03
520,7.54E-03,3.08E-01,4.25E-01,8.49E-02,1.13E-02,5.84E-03
522,7.89E-03,2.68E-01,4.80E-01,1.01E-01,9.46E-03,5.84E-03
524,8.57E-03,2.22E-01,5.38E-01,1.21E-01,9.46E-03,5.42E-03
526,9.26E-03,1.84E-01,5.88E-01,1.43E-01,1.02E-02,5.84E-03
528,9.26E-03,1.53E-01,6.42E-01,1.72E-01,1.13E-02,6.26E-03
530,9.26E-03,1.28E-01,7.10E-01,2.10E-01,1.24E-02,6.67E-03
532,8.91E-03,1.07E-01,7.94E-01,2.62E-01,1.46E-02,7.09E-03
534,7.89E-03,8.39E-02,8.65E-01,3.22E-01,1.67E-02,7.51E-03
536,6.86E-03,6.78E-02,9.14E-01,3.76E-01,1.93E-02,7.51E-03
538,6.51E-03,5.15E-02,9.54E-01,4.37E-01,2.26E-02,7.51E-03
540,6.51E-03,3.80E-02,9.77E-01,5.00E-01,2.69E-02,7.92E-03
542,6.86E-03,2.83E-02,1.00E+00,5.79E-01,3.17E-02,7.92E-03
544,7.20E-03,2.14E-02,9.98E-01,6.57E-01,3.71E-02,8.34E-03
546,7.89E-03,1.57E-02,9.81E-01,7.20E-01,4.44E-02,8.34E-03
548,8.23E-03,1.13E-02,9.59E-01,7.69E-01,5.35E-02,8.34E-03
550,8.23E-03,8.79E-03,9.30E-01,8.07E-01,6.55E-02,8.34E-03
552,7.54E-03,7.54E-03,8.91E-01,8.52E-01,8.00E-02,8.34E-03
554,7.54E-03,6.91E-03,8.45E-01,8.96E-01,9.71E-02,8.76E-03
556,8.57E-03,6.28E-03,7.99E-01,9.44E-01,1.20E-01,8.76E-03
558,1.03E-02,5.65E-03,7.52E-01,9.79E-01,1.58E-01,9.59E-03
560,1.23E-02,5.03E-03,7.00E-01,9.91E-01,2.08E-01,1.04E-02
562,1.41E-02,4.71E-03,6.27E-01,1.00E+00,2.77E-01,1.08E-02
564,1.37E-02,4.08E-03,5.54E-01,9.94E-01,3.46E-01,1.13E-02
566,1.13E-02,4.08E-03,4.69E-01,9.85E-01,4.11E-01,1.17E-02
568,8.91E-03,4.08E-03,3.93E-01,9.57E-01,4.63E-01,1.17E-02
570,7.20E-03,4.08E-03,3.34E-01,9.15E-01,5.24E-01,1.25E-02
572,6.17E-03,4.71E-03,2.89E-01,8.60E-01,5.92E-01,1.29E-02
574,6.86E-03,5.34E-03,2.53E-01,8.03E-01,6.64E-01,1.33E-02
576,8.57E-03,5.97E-03,2.10E-01,7.32E-01,7.26E-01,1.42E-02
578,7.89E-03,6.60E-03,1.68E-01,6.78E-01,7.88E-01,1.54E-02
580,8.57E-03,6.91E-03,1.20E-01,6.02E-01,8.32E-01,1.75E-02
582,8.23E-03,6.91E-03,9.29E-02,5.53E-01,8.82E-01,2.00E-02
584,7.89E-03,6.28E-03,7.36E-02,4.94E-01,9.29E-01,2.34E-02
586,7.54E-03,5.97E-03,6.00E-02,4.28E-01,9.46E-01,2.67E-02
588,7.20E-03,5.97E-03,4.91E-02,3.82E-01,9.88E-01,3.21E-02
590,6.17E-03,6.28E-03,3.45E-02,3.24E-01,1.00E+00,4.00E-02
592,5.49E-03,6.28E-03,2.32E-02,2.75E-01,9.87E-01,4.75E-02
594,5.14E-03,5.97E-03,1.43E-02,2.25E-01,9.87E-01,5.92E-02
596,4.80E-03,5.34E-03,8.96E-03,1.81E-01,9.52E-01,7.09E-02
598,4.46E-03,4.40E-03,6.63E-03,1.49E-01,9.06E-01,8.76E-02
600,4.80E-03,3.46E-03,5.97E-03,1.23E-01,8.36E-01,1.06E-01
602,4.46E-03,2.83E-03,5.64E-03,9.62E-02,7.58E-01,1.30E-01
604,4.80E-03,2.51E-03,5.64E-03,7.22E-02,6.92E-01,1.57E-01
606,5.14E-03,2.83E-03,5.64E-03,5.34E-02,6.25E-01,1.87E-01
608,5.83E-03,3.14E-03,5.97E-03,4.07E-02,5.61E-01,2.32E-01
610,6.86E-03,3.46E-03,6.30E-03,3.32E-02,4.96E-01,2.72E-01
612,8.91E-03,4.08E-03,6.97E-03,2.64E-02,4.43E-01,3.19E-01
614,1.10E-02,4.40E-03,7.63E-03,2.05E-02,4.06E-01,3.60E-01
616,1.30E-02,5.34E-03,8.62E-03,1.58E-02,3.70E-01,4.10E-01
