wavelength,V450_power,B500_power,G550_power,Y570_power,O600_power,R650_power
978,2.95E-02,1.13E-02,6.97E-03,1.03E-02,6.18E-03,6.67E-03
980,2.88E-02,1.10E-02,6.97E-03,1.03E-02,5.82E-03,6.67E-03
982,2.13E-02,8.79E-03,5.31E-03,8.22E-03,4.73E-03,5.42E-03
984,1.30E-02,6.28E-03,3.98E-03,6.16E-03,3.27E-03,4.17E-03
986,7.20E-03,4.71E-03,3.32E-03,5.48E-03,2.91E-03,3.75E-03
988,6.86E-03,5.34E-03,3.98E-03,6.85E-03,3.27E-03,4.59E-03
990,8.57E-03,6.60E-03,5.31E-03,9.24E-03,4.73E-03,6.26E-03
992,9.60E-03,7.22E-03,6.30E-03,1.06E-02,5.46E-03,6.67E-03
994,8.91E-03,6.60E-03,5.64E-03,1.03E-02,5.09E-03,6.26E-03
996,6.86E-03,5.03E-03,4.64E-03,8.22E-03,4.37E-03,5.00E-03
998,4.80E-03,3.46E-03,3.32E-03,6.16E-03,3.27E-03,3.75E-03
1000,3.43E-03,2.51E-03,2.32E-03,4.45E-03,2.55E-03,2.50E-03
1002,3.09E-03,2.20E-03,1.99E-03,4.11E-03,2.55E-03,2.09E-03
1004,2.74E-03,1.88E-03,1.99E-03,3.77E-03,2.55E-03,2.09E-03
1006,2.74E-03,1.88E-03,1.99E-03,3.77E-03,2.91E-03,2.09E-03
1008,2.74E-03,2.20E-03,1.99E-03,4.45E-03,3.27E-03,2.09E-03
1010,2.74E-03,2.20E-03,1.99E-03,4.45E-03,3.64E-03,2.50E-03
1012,2.74E-03,2.51E-03,1.99E-03,4.45E-03,4.00E-03,2.50E-03
1014,2.74E-03,2.51E-03,1.99E-03,4.11E-03,3.64E-03,2.09E-03
1016,2.40E-03,2.20E-03,1.66E-03,3.42E-03,2.91E-03,1.67E-03
1018,2.06E-03,1.88E-03,1.33E-03,2.74E-03,2.55E-03,1.67E-03
1020,1.71E-03,1.57E-03,9.95E-04,2.05E-03,1.82E-03,1.25E-03
1022,1.37E-03,1.57E-03,9.95E-04,1.71E-03,1.46E-03,8.34E-04
1024,1.37E-03,1.26E-03,6.63E-04,1.37E-03,1.09E-03,8.34E-04
1026,1.03E-03,1.26E-03,6.63E-04,1.37E-03,7.28E-04,8.34E-04
1028,1.03E-03,9.42E-04,6.63E-04,1.03E-03,7.28E-04,8.34E-04
1030,1.03E-03,9.42E-04,6.63E-04,1.03E-03,7.28E-04,8.34E-04
1032,1.03E-03,9.42E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1034,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1036,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1038,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,4.17E-04
1040,1.03E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1042,1.03E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1044,1.03E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1046,1.03E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1048,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1050,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1052,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1054,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1056,1.03E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,8.34E-04
1058,1.03E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1060,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1062,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1064,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1066,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1068,6.86E-04,3.14E-04,3.32E-04,6.85E-04,3.64E-04,4.17E-04
1070,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1072,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1074,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1076,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1078,6.86E-04,6.28E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1080,1.03E-03,6.28E-04,9.95E-04,6.85E-04,3.64E-04,8.34E-04
1082,1.03E-03,6.28E-04,9.95E-04,1.03E-03,3.64E-04,8.34E-04
1084,1.03E-03,6.28E-04,9.95E-04,1.03E-03,3.64E-04,8.34E-04
1086,1.03E-03,6.28E-04,9.95E-04,1.03E-03,3.64E-04,8.34E-04
1088,1.03E-03,6.28E-04,9.95E-04,6.85E-04,3.64E-04,8.34E-04
1090,1.03E-03,6.28E-04,1.33E-03,6.85E-04,3.64E-04,8.34E-04
1092,1.03E-03,6.28E-04,1.33E-03,6.85E-04,3.64E-04,8.34E-04
1094,6.86E-04,6.28E-04,1.33E-03,6.85E-04,0.00E+00,8.34E-04
1096,6.86E-04,6.28E-04,1.33E-03,6.85E-04,0.00E+00,8.34E-04
1098,6.86E-04,6.28E-04,1.66E-03,6.85E-04,0.00E+00,8.34E-04
1100,1.03E-03,6.28E-04,1.99E-03,6.85E-04,0.00E+00,8.34E-04
