Lambda,nir610_power,nir680_power,nir730_power,nir760_power,nir810_power,nir860_power
350,0.00003953010499,0.0001722135471,0.0001523972337,0.0002517040415,0.00009707253637,0.0001103084571
351,0.00003953010499,0.000192402841,0.0002321746103,0.0003048899011,0.0001339397739,0.0001324834985
352,0.00003953010499,0.0002125921349,0.0003119519869,0.0003580757606,0.0001708070114,0.0001546585399
353,0.00008143828318,0.0001929526269,0.0002512584763,0.0003517619884,0.0002012890827,0.0001713378828
354,0.0001233464614,0.000173313119,0.0001905649657,0.0003454482161,0.0002317711541,0.0001880172258
355,0.0001214452927,0.0001922303793,0.0002314356397,0.0002985761288,0.0002116359349,0.0002238591151
356,0.000119544124,0.0002111476397,0.0002723063137,0.0002517040415,0.0001915007157,0.0002597010043
357,0.0001563580508,0.000208619428,0.0003217371052,0.0003048899011,0.0002022265598,0.0002030244012
358,0.0001931719777,0.0002060912163,0.0003711678967,0.0003580757606,0.0002129524038,0.000146347798
359,0.0001901798448,0.0002021239246,0.0003636459341,0.0003517619884,0.0001710395431,0.000150503169
360,0.000187187712,0.000198156633,0.0003561239714,0.0003454482161,0.0001291266824,0.0001546585399
361,0.0002009798656,0.0001948692078,0.0003365144189,0.0003532476449,0.0001653316186,0.0001519523226
362,0.0002147720193,0.0001915817827,0.0003169048664,0.0003610470737,0.0002015365548,0.0001492461054
363,0.0002278047367,0.0002186056392,0.0003271973301,0.0003554172817,0.0002155246008,0.000205274642
364,0.0002408374542,0.0002456294956,0.0003374897938,0.0003497874896,0.0002295126468,0.0002613031785
365,0.0002539237876,0.000256609251,0.0003156217855,0.0003575838292,0.000252574321,0.0002569958077
366,0.000267010121,0.0002675890065,0.0002937537772,0.0003653801689,0.0002756359953,0.0002526884369
367,0.0003767692237,0.0002633394094,0.0002891297292,0.0003743142778,0.0002992079238,0.0002652161366
368,0.0004865283264,0.0002590898123,0.0002845056811,0.0003832483868,0.0003227798522,0.0002777438364
369,0.0005395181612,0.0003254579319,0.0003231557503,0.0003908882053,0.0003173996785,0.0003238730939
370,0.0005925079961,0.0003918260516,0.0003618058194,0.0003985280239,0.0003120195048,0.0003700023513
371,0.0006621462876,0.0004374827513,0.0004299503054,0.0004440491544,0.0003202868854,0.0003991908267
372,0.0007317845791,0.000483139451,0.0004980947914,0.0004895702849,0.0003285542659,0.0004283793021
373,0.000735234657,0.000515308253,0.000487695784,0.0005306814844,0.0003748380786,0.0005007833695
374,0.0007386847348,0.000547477055,0.0004772967766,0.0005717926838,0.0004211218913,0.0005731874368
375,0.0007278622499,0.0005775240225,0.0004844665669,0.0005722399161,0.0004912103175,0.0007656375739
376,0.0007170397649,0.0006075709899,0.0004916363572,0.0005726871484,0.0005612987436,0.000958087711
377,0.0007078861126,0.0006124351892,0.0005124499061,0.0005770347686,0.0005769080745,0.001310186423
378,0.0006987324602,0.0006172993884,0.0005332634551,0.0005813823888,0.0005925174054,0.001662285136
379,0.0006898922601,0.0006213053234,0.0005393731655,0.0005931439642,0.0005932500578,0.001867916951
380,0.00068105206,0.0006253112583,0.0005454828759,0.0006049055396,0.0005939827103,0.002073548765
381,0.0006720861038,0.000639148212,0.0005654876555,0.0005774848649,0.0005860682641,0.002126731495
382,0.0006631201476,0.0006529851657,0.0005854924351,0.0005500641903,0.0005781538179,0.002179914224
383,0.0008592218464,0.0008012798337,0.0005904632739,0.0005425871565,0.0005700722833,0.002029588949
384,0.001055323545,0.0009495745017,0.0005954341127,0.0005351101227,0.0005619907488,0.001879263673
385,0.00118116973,0.001027416237,0.0007058004311,0.0005181899175,0.0005444036987,0.001856839225
386,0.001307015915,0.001105257972,0.0008161667496,0.0005012697122,0.0005268166487,0.001834414778
387,0.001384171608,0.001193561293,0.000889422188,0.0005243966108,0.0005417042944,0.00195462584
388,0.001461327302,0.001281864614,0.0009626776263,0.0005475235094,0.0005565919401,0.002074836902
389,0.001533055156,0.001268539806,0.001057448566,0.0006316106576,0.0005599897569,0.002337801891
390,0.001604783011,0.001255214999,0.001152219505,0.0007156978059,0.0005633875738,0.002600766879
391,0.001612002355,0.001191957725,0.001176562538,0.0008168973547,0.0005969479628,0.002720688129
392,0.001619221699,0.001128700451,0.001200905572,0.0009180969035,0.0006305083518,0.00284060938
393,0.001542054,0.0009854539547,0.001100744223,0.0009453571148,0.0006640443577,0.002670775932
394,0.001464886301,0.0008422074583,0.001000582875,0.000972617326,0.0006975803636,0.002500942485
395,0.001308842864,0.0007196643076,0.00086874517,0.0009716115965,0.0007216525135,0.002248630155
396,0.001152799428,0.000597121157,0.0007369074651,0.0009706058669,0.0007457246634,0.001996317825
397,0.0009645465383,0.0005591385936,0.0006525880526,0.0009003254614,0.0007192626564,0.001673403418
398,0.0007762936484,0.0005211560302,0.00056826864,0.0008300450559,0.0006928006494,0.001350489012
399,0.0006696493427,0.0004973239718,0.0005305981547,0.0007143479379,0.0006463829064,0.001117125959
400,0.000563005037,0.0004734919135,0.0004929276693,0.00059865082,0.0005999651635,0.0008837629059
401,0.0005396102079,0.0004609329764,0.0004785305769,0.0005245719135,0.000555315477,0.0007497790651
402,0.0005162153788,0.0004483740394,0.0004641334845,0.0004504930071,0.0005106657904,0.0006157952243
403,0.000513696229,0.0004366837823,0.0004510886228,0.0004307505083,0.0004682780539,0.0005782617633
404,0.0005111770791,0.0004249935252,0.0004380437611,0.0004110080096,0.0004258903174,0.0005407283023
405,0.0005041517707,0.0004042309972,0.000434055682,0.000401114954,0.0004142677686,0.0005262886535
406,0.0004971264623,0.0003834684692,0.0004300676029,0.0003912218985,0.0004026452199,0.0005118490048
407,0.0005061930531,0.0003749985841,0.000412380841,0.000401726288,0.000402038236,0.0004877632648
408,0.0005152596439,0.0003665286991,0.0003946940792,0.0004122306775,0.0004014312521,0.0004636775248
409,0.0005470800618,0.0003758270927,0.0004038493163,0.0004026925553,0.0004033470187,0.0004618335168
410,0.0005789004796,0.0003851254862,0.0004130045534,0.0003931544332,0.0004052627853,0.0004599895088
411,0.0005994436517,0.0004123348509,0.0004240318007,0.0004099134886,0.000411320396,0.0004510719965
412,0.0006199868238,0.0004395442156,0.000435059048,0.0004266725441,0.0004173780067,0.0004421544841
413,0.0005866430402,0.0004489499447,0.0004339468925,0.0004248033483,0.0004252222293,0.0004631447898
414,0.0005532992567,0.0004583556737,0.000432834737,0.0004229341525,0.0004330664518,0.0004841350955
415,0.000541783553,0.0004576393379,0.0004422025363,0.0004308976269,0.000450096049,0.0004931703016
416,0.0005302678492,0.0004569230021,0.0004515703357,0.0004388611014,0.0004671256463,0.0005022055077
417,0.0004614259986,0.0004563627198,0.0004509839105,0.0004296481319,0.0004928764341,0.0005130107565
418,0.0003925841479,0.0004558024374,0.0004503974854,0.0004204351623,0.0005186272219,0.0005238160054
419,0.0003562825963,0.000368260354,0.0003961170146,0.0004022025454,0.0005190890478,0.0005230842216
420,0.0003199810448,0.0002807182706,0.0003418365438,0.0003839699285,0.0005195508738,0.0005223524379
421,0.000286261322,0.0002503833245,0.0003196203945,0.0003468047139,0.0004817123831,0.0005095157539
422,0.0002525415993,0.0002200483783,0.0002974042453,0.0003096394994,0.0004438738924,0.00049667907
423,0.0002619327283,0.0002188621217,0.0002859510981,0.0002728607654,0.0003734179459,0.0003957568152
424,0.0002713238573,0.0002176758652,0.0002744979509,0.0002360820314,0.0003029619994,0.0002948345604
425,0.0003136596187,0.0002073951951,0.0002640095522,0.0002347876621,0.0002654911752,0.000282277894
426,0.0003559953801,0.0001971145251,0.0002535211535,0.0002334932928,0.0002280203511,0.0002697212276
427,0.0003765314533,0.0002146454833,0.0002530587189,0.0002413727432,0.0002174442948,0.0002475977948
428,0.0003970675265,0.0002321764415,0.0002525962844,0.0002492521937,0.0002068682385,0.0002254743619
429,0.000419606872,0.0002593355755,0.0002818382897,0.000266179162,0.0002141266935,0.000215008643
430,0.0004421462176,0.0002864947095,0.0003110802949,0.0002831061303,0.0002213851485,0.000204542924
431,0.0004214006294,0.0002954547959,0.000331830281,0.0003088207468,0.0002209569233,0.0002346391166
432,0.0004006550412,0.0003044148822,0.000352580267,0.0003345353633,0.0002205286981,0.0002647353093
433,0.0003788589083,0.0002861044636,0.0003420404334,0.0003429850079,0.0002452775496,0.0002874052561
434,0.0003570627754,0.000267794045,0.0003315005999,0.0003514346525,0.0002700264012,0.0003100752028
435,0.0003031706598,0.0002504020582,0.0003206776671,0.0003347749163,0.0002873512789,0.0003401224066
436,0.0002492785441,0.0002330100714,0.0003098547344,0.0003181151801,0.0003046761566,0.0003701696104
437,0.0002265521729,0.0002227633626,0.0002889504023,0.0002831267328,0.0002970795971,0.0003392393519
438,0.0002038258016,0.0002125166539,0.0002680460703,0.0002481382854,0.0002894830375,0.0003083090933
439,0.0002028229735,0.0001933642877,0.0002473350201,0.0002297126182,0.000264037476,0.0002854948513
440,0.0002018201454,0.0001742119216,0.00022662397,0.0002112869509,0.0002385919144,0.0002626806094
441,0.0002012374867,0.0001733877006,0.0002163624291,0.0002019972501,0.000213276228,0.0002213433881
442,0.000200654828,0.0001725634796,0.0002061008882,0.0001927075493,0.0001879605416,0.0001800061667
443,0.0002006546036,0.0001721189552,0.0002055657716,0.0001917723306,0.0001700418739,0.0001481323644
444,0.0002006543793,0.0001716744309,0.0002050306551,0.000190837112,0.0001521232062,0.0001162585621
445,0.0002004080953,0.0001716404365,0.0002050329638,0.0001904320478,0.0001436594871,0.0001056765074
446,0.0002001618113,0.000171606442,0.0002050352725,0.0001900269835,0.0001351957681,0.00009509445277
447,0.0002180822541,0.000171257694,0.0002047334351,0.0001901168817,0.0001346414649,0.00008543002458
448,0.000236002697,0.000170908946,0.0002044315976,0.0001902067798,0.0001340871618,0.00007576559639
449,0.0002429311335,0.0001695493899,0.0002116688877,0.0001898533067,0.0001337861613,0.00007579705725
450,0.00024985957,0.0001681898338,0.0002189061778,0.0001894998336,0.0001334851609,0.00007582851812
451,0.0002939764436,0.000190557086,0.0002354889976,0.0002037956871,0.0001410579159,0.00007571933289
452,0.0003380933172,0.0002129243383,0.0002520718174,0.0002180915406,0.0001486306709,0.00007561014766
453,0.0003370553754,0.000225995247,0.0002566891459,0.0002231045228,0.000155522503,0.0000749229381
454,0.0003360174336,0.0002390661557,0.0002613064743,0.000228117505,0.0001624143351,0.00007423572854
455,0.0003080770193,0.0002376540078,0.0002866795006,0.000255561689,0.0001684665098,0.00007321808908
456,0.000280136605,0.00023624186,0.0003120525268,0.000283005873,0.0001745186844,0.00007220044962
457,0.0002495449673,0.0002200431189,0.0003023055477,0.0002887842773,0.0001878558178,0.0001000824706
458,0.0002189533295,0.0002038443779,0.0002925585686,0.0002945626816,0.0002011929512,0.0001279644916
459,0.0002075720333,0.0001879224082,0.0002649555392,0.000256680483,0.000213888258,0.0001169149186
460,0.000196190737,0.0001720004385,0.0002373525097,0.0002187982843,0.0002265835648,0.0001058653456
461,0.0001933481814,0.000162277363,0.000226975421,0.0002180410201,0.0002186434578,0.00009613950945
462,0.0001905056257,0.0001525542875,0.0002165983323,0.0002172837559,0.0002107033508,0.00008641367335
463,0.0001953567474,0.0001502626798,0.000204700365,0.0002000669092,0.000195342657,0.00008614807024
464,0.0002002078691,0.0001479710721,0.0001928023978,0.0001828500625,0.0001799819632,0.00008588246713
465,0.0001963519399,0.0001451078658,0.0001890096473,0.0001800561056,0.0001789319281,0.00007659422316
466,0.0001924960107,0.0001422446595,0.0001852168967,0.0001772621487,0.000177881893,0.00006730597919
467,0.0001968919677,0.0001466680326,0.000189801181,0.0001874115359,0.0001677869196,0.00006626274639
